Name,Mid X,Mid Y,Layer,Rotation
CONN4,508.75,492.98,Top,0
IC4,476.25,502.92,Top,0
CONN3,518.5,507.98,Top,180
CONN1,496.55,473.81,Top,0
IC2,476.5,478.25,Top,90
C9,479.75,516,Top,180
C10,473.25,516,Top,0
C12,485,474.75,Top,0
C1,479.75,471,Top,0
C3,500.5,511.75,Top,180
C4,500.5,508.75,Top,180
C5,500.5,505.5,Top,180
C6,500.5,514.65,Top,0
C7,483.25,503.75,Top,0
C8,483.5,497,Top,0
C11,476.25,498.75,Top,180
IC1,495.3,495,Top,0
Y1,476.25,511.81,Top,0
LED1,510.25,471.32,Top,270
LED2,494.67,506.5,Top,270
LED3,494.67,510.75,Top,270
CONN2,494.25,532.13,Bottom,270
R1,510.25,474.5,Top,0
R2,490.25,506.5,Top,180
R3,490.25,510.75,Top,180
R4,476.25,493.75,Top,180
R5,483.5,490.25,Top,0
R8,469.25,501,Top,0
R9,469.25,504.5,Top,0
R17,476.5,490.25,Top,180
C2,475,469.75,Top,180
R6,485.12,469.4,Top,180
R7,485.12,471.94,Top,180
L1,483.25,500.69,Top,0
L2,483.5,494,Top,0
